Ticker,Model,WindowEnd,Arm,Trail,Base_Sharpe,New_Sharpe,Delta_Sharpe,Base_Return,New_Return,Delta_Return,Base_MaxDD,New_MaxDD,Delta_MaxDD,Days_Held
IBM,RF,2024-01-01,buy_and_hold,,0.022,0.425,0.403,0.39,52.18,51.79,-26.32,-38.98,-12.66,1108
IBM,RF,2024-01-01,trail_only,0.08,0.022,0.623,0.601,0.39,87.19,86.8,-26.32,-26.31,0.01,1070
IBM,RF,2024-01-01,trail_only,0.12,0.022,0.531,0.509,0.39,70.37,69.98,-26.32,-33.36,-7.04,1091
IBM,RF,2024-01-01,trail_only,0.15,0.022,0.538,0.516,0.39,72.06,71.67,-26.32,-37.14,-10.82,1083
IBM,RF,2024-01-01,trail_only,0.2,0.022,0.535,0.513,0.39,71.51,71.12,-26.32,-32.9,-6.58,1096
IBM,LR,2023-01-01,buy_and_hold,,0.279,0.37,0.091,20.59,33.77,13.18,-32.88,-38.98,-6.1,983
IBM,LR,2023-01-01,trail_only,0.08,0.279,0.289,0.01,20.59,22.28,1.69,-32.88,-34.36,-1.48,951
IBM,LR,2023-01-01,trail_only,0.12,0.279,0.497,0.218,20.59,51.5,30.91,-32.88,-31.96,0.92,964
IBM,LR,2023-01-01,trail_only,0.15,0.279,0.463,0.184,20.59,46.24,25.65,-32.88,-31.56,1.32,967
IBM,LR,2023-01-01,trail_only,0.2,0.279,0.38,0.101,20.59,34.49,13.9,-32.88,-32.9,-0.02,977
IBM,RF,2023-01-01,buy_and_hold,,0.294,0.37,0.076,20.9,33.77,12.87,-25.17,-38.98,-13.81,983
IBM,RF,2023-01-01,trail_only,0.08,0.294,0.313,0.019,20.9,25.31,4.41,-25.17,-34.61,-9.44,954
IBM,RF,2023-01-01,trail_only,0.12,0.294,0.387,0.093,20.9,35.21,14.31,-25.17,-30.85,-5.68,968
IBM,RF,2023-01-01,trail_only,0.15,0.294,0.342,0.048,20.9,29.61,8.71,-25.17,-37.14,-11.97,966
IBM,RF,2023-01-01,trail_only,0.2,0.294,0.399,0.105,20.9,37.25,16.35,-25.17,-30.37,-5.2,971
IBM,LR,2022-01-01,buy_and_hold,,-0.059,0.235,0.294,-10.33,12.65,22.98,-41.87,-38.98,2.89,857
